ID	experiment	zoo	clutch	euthanised	days_survived	infection_status	slope_bd	bd_std.error	age_start	age_death	wt_start	wt_death	svl_start	svl_death	bc_start	bc_death	bc_change
Psco_273	1	TZ	15	1	61	1	0.628034265	0.109092113	299	360	1.072	0.778	24.41	22.44	0.02	-0.08	-0.1
Psco_183	1	TZ	9	0	98	0	0	0	296	394	0.808	0.723	22.39	21.55	-0.07	-0.11	-0.04
Psco_281	1	MZ	4	1	74	1	0.499170004	0.13129266	271	345	1.176	0.718	23.94	20.99	0.05	-0.11	-0.16
Psco_289	1	TZ	19	1	51	1	1.34987152	0.156109955	276	327	1.048	0.74	23.99	21.92	0.01	-0.1	-0.11
Psco_385	1	MZ	1	1	50	1	1.118110159	0.184280369	269	319	1.16	0.777	23.35	21.95	0.05	-0.08	-0.13
Psco_297	1	TZ	10	1	81	1	0.264755795	0.1182146	292	373	1.198	0.782	23.53	21.35	0.06	-0.08	-0.14
Psco_393	1	MZ	6	1	58	1	0.373724725	0.164144559	278	336	0.942	0.83	22.46	20.17	-0.02	-0.06	-0.04
Psco_305	1	TZ	12	0	98	0	0	0	296	394	0.914	0.674	22.49	22.6	-0.03	-0.13	-0.1
Psco_416	2	MZ	30	0	98	0	0	0	202	300	1.259	0.863	25.89	24.68	0.07	-0.05	-0.12
Psco_313	1	MZ	4	1	49	1	0.552894863	0.260551873	271	320	1.177	0.769	22.85	21.5	0.05	-0.09	-0.14
Psco_424	2	MZ	24	1	76	1	0.482781216	0.113765505	239	315	1.092	0.806	23.88	22.66	0.03	-0.07	-0.1
Psco_321	1	TZ	17	1	52	1	0.660953547	0.144160087	276	328	0.941	0.659	23.89	22.24	-0.02	-0.13	-0.12
Psco_432	2	MZ	21	1	70	1	0.540742707	0.054785233	218	288	0.878	0.644	22.82	20.89	-0.04	-0.14	-0.1
Psco_329	1	TZ	15	1	46	1	0.585473407	0.122638722	299	345	1.081	0.829	24.87	23.42	0.02	-0.06	-0.08
Psco_440	2	TZ	50	1	62	1	0.549576241	0.072433636	172	234	0.65	0.557	21.33	18.85	-0.14	-0.2	-0.06
Psco_337	1	TZ	14	1	65	1	0.591306342	0.086119338	292	357	0.966	0.665	23.72	21.28	-0.01	-0.13	-0.12
Psco_448	2	TZ	44	0	98	0	0	0	173	271	0.602	0.669	20.64	20.74	-0.17	-0.13	0.04
Psco_345	1	TZ	11	1	63	1	0.53490725	0.160912019	303	366	1.028	0.677	23.31	21.06	0.01	-0.13	-0.14
Psco_456	2	TZ	43	1	70	1	0.397419467	0.083365727	175	245	0.63	0.457	19.62	18.2	-0.16	-0.27	-0.11
Psco_353	1	TZ	17	1	76	1	0.327501858	0.098459728	276	352	1.043	0.682	24.04	21.17	0.01	-0.13	-0.14
Psco_464	2	MZ	37	1	49	1	0.780396722	0.032746297	200	249	1.357	1.064	24.84	22.68	0.1	0.02	-0.08
Psco_361	1	MZ	6	1	60	1	0.588143795	0.289527212	278	338	1.098	0.738	22.79	21.98	0.03	-0.1	-0.13
Psco_472	2	MZ	23	1	56	1	0.476068819	0.050723423	189	245	1.258	0.927	25.12	23.17	0.07	-0.02	-0.1
Psco_369	1	TZ	15	1	78	1	0.376204254	0.20433728	299	377	1.105	0.763	23.94	21.7	0.03	-0.09	-0.12
Psco_480	2	MZ	32	1	67	1	0.468924858	0.088031575	199	266	1.086	0.917	24.4	21.53	0.03	-0.03	-0.05
Psco_377	1	TZ	20	0	98	0	0	0	289	387	0.984	0.821	22.86	23.03	-0.01	-0.06	-0.06
Psco_488	2	TZ	48	1	67	1	0.434143097	0.071888626	173	240	0.667	0.782	20.02	18.49	-0.14	-0.08	0.05
Psco_192	1	MZ	6	1	56	1	0.522389522	0.079721928	278	334	0.919	0.537	22.34	20.78	-0.03	-0.2	-0.18
Psco_104	1	TZ	16	1	61	1	0.637834371	0.210102756	291	352	1.156	0.819	24.14	22.19	0.05	-0.06	-0.11
Psco_200	1	TZ	17	1	64	1	0.418516285	0.091108019	276	340	1.001	0.701	24.51	21.95	0	-0.12	-0.12
Psco_112	1	MZ	6	0	98	0	0	0	278	376	1.119	0.923	25.06	24.23	0.03	-0.03	-0.06
Psco_208	1	TZ	11	0	98	1	0.287303677	0.054452729	303	401	0.969	0.674	22.63	20.83	-0.01	-0.13	-0.12
Psco_120	1	TZ	14	1	53	1	0.617581364	0.128269874	292	345	1.059	0.888	24.45	23.2	0.02	-0.04	-0.06
Psco_216	1	TZ	10	0	98	0	0	0	292	390	0.883	0.665	22.29	22.31	-0.04	-0.13	-0.09
Psco_128	1	MZ	7	1	61	1	0.622775436	0.092797329	278	339	0.988	0.72	23.31	22	0	-0.11	-0.1
Psco_224	1	MZ	3	1	55	1	0.778515699	0.244301439	284	339	0.978	0.531	22.93	21.73	-0.01	-0.21	-0.2
Psco_136	1	TZ	12	1	48	1	0.158587337	0.072475926	296	344	0.871	0.615	21.73	20.31	-0.04	-0.16	-0.12
Psco_232	1	TZ	15	1	45	1	0.956048673	0.122020982	299	344	1.006	0.833	22.68	22.45	0	-0.06	-0.06
Psco_144	1	MZ	4	1	56	1	0.469508945	0.150376384	271	327	0.91	0.699	22.72	21.11	-0.03	-0.12	-0.09
Psco_240	1	TZ	17	1	51	1	0.554727646	0.048067424	276	327	0.894	0.631	23.1	20.19	-0.04	-0.15	-0.12
Psco_249	1	TZ	18	1	88	1	0.218389625	0.177311105	297	385	1.238	0.793	23.93	24.05	0.07	-0.07	-0.14
Psco_257	1	TZ	19	1	74	1	0.482105672	0.056411777	276	350	0.964	0.601	23.45	20.66	-0.01	-0.17	-0.16
Psco_168	1	TZ	14	1	68	1	0.736192699	0.135417361	292	360	1.286	0.842	24.92	23.88	0.08	-0.05	-0.13
Psco_266	1	TZ	11	1	53	1	0.661094925	0.237722301	303	356	0.951	0.729	22.28	21.63	-0.02	-0.1	-0.09
Psco_176	1	MZ	5	0	98	1	0.413218249	0.051724778	275	373	0.95	0.693	21.65	20.47	-0.02	-0.12	-0.1
Psco_184	1	TZ	12	0	98	0	0	0	296	394	1.112	0.719	23.8	23.29	0.03	-0.1	-0.14
Psco_282	1	TZ	19	1	72	1	0.560236021	0.047988576	276	348	0.868	0.643	23.36	20.61	-0.04	-0.15	-0.1
Psco_290	1	TZ	13	1	46	1	0.661375596	0.102044324	289	335	0.976	0.776	23.82	22.3	-0.01	-0.08	-0.07
Psco_386	1	MZ	2	1	74	1	0.670871471	0.099770993	271	345	1.14	0.708	24.41	22.34	0.04	-0.11	-0.15
Psco_298	1	TZ	19	1	48	1	0.830594927	0.411068315	276	324	1.019	0.747	25.1	21.88	0.01	-0.09	-0.1
Psco_394	1	TZ	13	1	54	1	0.701390435	0.177505208	289	343	0.878	0.652	22.4	20.59	-0.04	-0.14	-0.1
Psco_306	1	TZ	16	0	98	0	0	0	291	389	0.856	0.687	21.55	21.46	-0.05	-0.12	-0.07
Psco_417	2	MZ	33	1	86	1	0.325207721	0.047933326	189	275	0.938	0.645	23.63	22.34	-0.02	-0.14	-0.12
Psco_314	1	TZ	19	1	48	1	1.109851525	0.315766934	276	324	1.092	0.841	24.29	22.14	0.03	-0.06	-0.08
Psco_425	2	MZ	21	1	59	1	0.535079243	0.076988759	218	277	1.085	0.768	23.59	21.98	0.03	-0.09	-0.11
Psco_322	1	MZ	3	1	63	1	0.653202635	0.193164407	284	347	0.934	0.701	22.2	20.33	-0.02	-0.12	-0.1
Psco_433	2	MZ	25	1	80	1	0.37192802	0.044552955	208	288	1.16	0.869	24.69	24.03	0.05	-0.04	-0.09
Psco_330	1	TZ	9	0	98	0	0	0	296	394	0.804	0.666	21.11	21.38	-0.07	-0.13	-0.06
Psco_441	2	MZ	28	1	67	1	0.360512338	0.125195797	242	309	1.194	0.641	26.12	22.31	0.05	-0.14	-0.2
Psco_338	1	TZ	18	1	81	1	0.448190268	0.082843436	297	378	1.078	0.72	24.61	22.57	0.02	-0.11	-0.13
Psco_449	2	TZ	44	1	58	1	0.665003744	0.110650686	173	231	0.815	0.745	23.05	19.08	-0.07	-0.1	-0.03
Psco_346	1	TZ	12	1	72	1	0.745938223	0.291888667	296	368	0.857	0.645	21.95	19.45	-0.05	-0.15	-0.1
Psco_457	2	MZ	33	1	76	1	0.503907077	0.158029176	189	265	1.014	0.692	23.51	22.71	0	-0.12	-0.12
Psco_354	1	TZ	10	1	54	1	0.698535939	0.106704782	292	346	1.112	0.907	24.29	21.26	0.03	-0.03	-0.07
Psco_465	2	MZ	39	1	63	1	0.376599505	0.071535664	206	269	0.875	0.905	23.63	21.9	-0.04	-0.03	0.01
Psco_362	1	MZ	8	0	98	0	0	0	271	369	0.933	0.86	21.82	23.4	-0.02	-0.05	-0.03
